time,seconds_elapsed,z,y,x
1761378972256395000,0.07239501953125,-0.0009478190331719816,0.071532242000103,0.04481860250234604
1761378972266450200,0.0824501953125,-0.008053931407630444,0.07347821444272995,0.05420305207371712
1761378972276506000,0.092506103515625,-0.02394607849419117,0.07987219840288162,0.04109790176153183
1761378972286561300,0.102561279296875,-0.05410504713654518,0.061586666852235794,0.016715331003069878
1761378972296617200,0.1126171875,-0.07139508426189423,0.020077304914593697,-0.02196015976369381
1761378972306672000,0.122672119140625,-0.06943926215171814,-0.03626532852649689,-0.06064550206065178
1761378972316728000,0.13272802734375,-0.062012236565351486,-0.08289434760808945,-0.11347835510969162
1761378972326783200,0.142783203125,-0.05210527777671814,-0.11900041997432709,-0.15857553482055664
1761378972336839200,0.152839111328125,-0.046241797506809235,-0.11805979162454605,-0.17043112218379974
1761378972346894300,0.162894287109375,-0.04651716724038124,-0.10176737606525421,-0.14581260085105896
1761378972356950300,0.1729501953125,-0.068862684071064,-0.05816689878702164,-0.09175974875688553
1761378972367005200,0.183005126953125,-0.09993698447942734,-0.01016608439385891,-0.020848024636507034
1761378972377061000,0.19306103515625,-0.11575749516487122,0.015848204493522644,0.02762310579419136
1761378972387117000,0.203116943359375,-0.11368848383426666,0.013197560794651508,0.04601143300533295
1761378972397172200,0.213172119140625,-0.10857148468494415,-0.021626465022563934,0.03767281025648117
1761378972407228200,0.223228271484375,-0.08596790581941605,-0.07620155811309814,0.0021310613956302404
1761378972417283300,0.233283447265625,-0.036974530667066574,-0.13182221353054047,-0.0411389134824276
1761378972427339300,0.24333935546875,0.012025503441691399,-0.1593201458454132,-0.059966664761304855
1761378972437394200,0.253394287109375,0.035962529480457306,-0.17044523358345032,-0.05614156648516655
1761378972447450000,0.2634501953125,0.021280521526932716,-0.1631534993648529,-0.04945889487862587
1761378972457505300,0.27350537109375,-0.010875817388296127,-0.12999288737773895,-0.05218304321169853
1761378972467561200,0.283561279296875,-0.03328445181250572,-0.09684904664754868,-0.07175274938344955
1761378972477616400,0.293616455078125,-0.042508579790592194,-0.06683336198329926,-0.09647300839424133
1761378972487672000,0.303672119140625,-0.04093651473522186,-0.049795519560575485,-0.11781904101371765
1761378972497727200,0.313727294921875,-0.03900279104709625,-0.0649276003241539,-0.13640205562114716
1761378972507783200,0.323783203125,-0.016461264342069626,-0.06580591201782227,-0.1333569884300232
1761378972517838300,0.33383837890625,0.007748466916382313,-0.08361367136240005,-0.1206023171544075
1761378972527894300,0.343894287109375,0.023502662777900696,-0.10579273849725723,-0.10892541706562042
1761378972537949200,0.35394921875,0.030133135616779327,-0.13185790181159973,-0.09806451201438904
1761378972548005000,0.364005126953125,0.031623438000679016,-0.155618354678154,-0.09649431705474854
1761378972558060300,0.374060302734375,0.005862948950380087,-0.16527524590492249,-0.10341107845306396
1761378972568116200,0.3841162109375,-0.021324729546904564,-0.15572302043437958,-0.10685800760984421
1761378972578171100,0.394171142578125,-0.02441985532641411,-0.15966929495334625,-0.10376793891191483
1761378972588227300,0.404227294921875,-0.011449728161096573,-0.1566535234451294,-0.08373218029737473
