time,seconds_elapsed,z,y,x
1761378929470811600,0.067811767578125,-0.0452117919921875,-1.0319061279296875,0.000640869140625
1761378929480867600,0.07786767578125,-0.046142578125,-1.0226593017578125,-0.0047760009765625
1761378929490923500,0.087923583984375,-0.046722412109375,-1.01593017578125,-0.012359619140625
1761378929500978700,0.097978759765625,-0.0525665283203125,-1.0043182373046875,-0.0209197998046875
1761378929511034600,0.10803466796875,-0.040802001953125,-0.997955322265625,-0.0283966064453125
1761378929521090800,0.1180908203125,-0.0395965576171875,-0.9838104248046875,-0.0347137451171875
1761378929531146800,0.128146728515625,-0.031463623046875,-0.9859771728515625,-0.031158447265625
1761378929541201700,0.13820166015625,-0.031494140625,-1.001861572265625,-0.0141448974609375
1761378929551257600,0.148257568359375,-0.0370635986328125,-1.0131683349609375,0.0020751953125
1761378929561313500,0.1583134765625,-0.0486297607421875,-1.0133514404296875,0.0089569091796875
1761378929571369700,0.16836962890625,-0.0519256591796875,-1.01141357421875,0.011138916015625
1761378929581424600,0.178424560546875,-0.057464599609375,-1.0066986083984375,0.002166748046875
1761378929591480800,0.188480712890625,-0.0661468505859375,-1.0078277587890625,-0.0052642822265625
1761378929601536800,0.198536865234375,-0.0665283203125,-1.006256103515625,-0.013916015625
1761378929611592700,0.2085927734375,-0.0667724609375,-0.994873046875,-0.02606201171875
1761378929621647600,0.218647705078125,-0.06011962890625,-0.988616943359375,-0.0312652587890625
1761378929631703600,0.22870361328125,-0.0498199462890625,-0.980712890625,-0.0268096923828125
1761378929641759700,0.238759765625,-0.0453643798828125,-0.978240966796875,-0.0215911865234375
1761378929651814700,0.248814697265625,-0.045166015625,-0.9816741943359375,-0.0092010498046875
1761378929661870600,0.25887060546875,-0.0407867431640625,-0.97412109375,-0.0056610107421875
1761378929671926800,0.2689267578125,-0.0352325439453125,-0.963043212890625,-0.0080718994140625
1761378929681982700,0.278982666015625,-0.035980224609375,-0.9594879150390625,-0.014678955078125
1761378929692037600,0.28903759765625,-0.0356292724609375,-0.9730987548828125,-0.0240325927734375
1761378929702093600,0.299093505859375,-0.0439605712890625,-0.976348876953125,-0.023712158203125
1761378929712149500,0.3091494140625,-0.05792236328125,-0.97698974609375,-0.018585205078125
1761378929722205700,0.319205810546875,-0.0613861083984375,-0.99102783203125,-0.0045928955078125
1761378929732260600,0.329260498046875,-0.0671844482421875,-1.004547119140625,0.010345458984375
1761378929742316800,0.33931689453125,-0.070098876953125,-1.0171051025390625,0.0213165283203125
1761378929752372700,0.349372802734375,-0.07330322265625,-1.025360107421875,0.0296783447265625
1761378929762427600,0.359427734375,-0.0854644775390625,-1.0374908447265625,0.0322723388671875
1761378929772483600,0.369483642578125,-0.093994140625,-1.0389404296875,0.0301055908203125
1761378929782539500,0.37953955078125,-0.098114013671875,-1.021453857421875,0.01837158203125
1761378929792595700,0.389595703125,-0.1024627685546875,-1.0140228271484375,0.0078582763671875
1761378929802650600,0.399650634765625,-0.1036224365234375,-1.007080078125,0.0123748779296875
1761378929812706800,0.409706787109375,-0.093109130859375,-0.996368408203125,0.020843505859375
1761378929822762800,0.4197626953125,-0.08245849609375,-0.9921722412109375,0.029327392578125
1761378929832818700,0.429818603515625,-0.067962646484375,-0.98956298828125,0.039703369140625
1761378929842870300,0.439870361328125,-0.0524749755859375,-0.98272705078125,0.049072265625
1761378929852926200,0.44992626953125,-0.0478668212890625,-0.982147216796875,0.058441162109375
1761378929862982400,0.459982421875,-0.0421142578125,-0.9830322265625,0.0675506591796875
1761378929873038300,0.470038330078125,-0.0325775146484375,-0.9737548828125,0.063323974609375
1761378929883093200,0.48009326171875,-0.0154876708984375,-0.96356201171875,0.053436279296875
1761378929893149400,0.4901494140625,-0.00421142578125,-0.959503173828125,0.0419464111328125
1761378929903205400,0.500205322265625,0.005096435546875,-0.9569854736328125,0.0301055908203125
1761378929913260300,0.51026025390625,0.0097503662109375,-0.9504852294921875,0.02252197265625
1761378929923316200,0.520316162109375,0.0048980712890625,-0.945037841796875,0.0208282470703125
1761378929933372200,0.5303720703125,0.0071563720703125,-0.9501190185546875,0.0277099609375
1761378929943428400,0.540428466796875,-0.001800537109375,-0.9533843994140625,0.0350799560546875
1761378929953483300,0.550483154296875,-0.0086669921875,-0.9560699462890625,0.0375823974609375
1761378929963539500,0.56053955078125,-0.009307861328125,-0.966766357421875,0.0363616943359375
1761378929973595400,0.570595458984375,-0.0189361572265625,-0.9743804931640625,0.0325469970703125
1761378929983651300,0.5806513671875,-0.0251922607421875,-0.981842041015625,0.0266265869140625
1761378929993706200,0.590706298828125,-0.0280914306640625,-0.9932403564453125,0.0150299072265625
1761378930003762200,0.60076220703125,-0.0276031494140625,-0.9992828369140625,0.0108184814453125
1761378930013818400,0.610818359375,-0.0228271484375,-1.005218505859375,0.0106048583984375
1761378930023874300,0.620874267578125,-0.0260162353515625,-1.00689697265625,0.0079193115234375
1761378930033929500,0.630929443359375,-0.01953125,-1.01275634765625,0.0051116943359375
1761378930043985400,0.6409853515625,-0.0238494873046875,-1.016845703125,0.0046539306640625
1761378930054041300,0.651041259765625,-0.0347442626953125,-1.014556884765625,0.0063018798828125
1761378930064097300,0.66109716796875,-0.038726806640625,-1.009307861328125,0.0051422119140625
1761378930074152200,0.671152099609375,-0.0388336181640625,-1.0041656494140625,-0.001129150390625
1761378930084208000,0.6812080078125,-0.0437469482421875,-1.001312255859375,-0.0025787353515625
1761378930094264300,0.691264404296875,-0.0463714599609375,-0.999786376953125,0.000244140625
1761378930104319200,0.7013193359375,-0.037994384765625,-0.99951171875,0.0080108642578125
1761378930114375400,0.71137548828125,-0.0403594970703125,-1.0030059814453125,0.0203399658203125
1761378930124431400,0.721431396484375,-0.0351409912109375,-1.0116119384765625,0.0359649658203125
1761378930134487300,0.7314873046875,-0.0216064453125,-1.009033203125,0.0430908203125
1761378930144542200,0.741542236328125,-0.0090789794921875,-1.005218505859375,0.0435638427734375
1761378930154598100,0.75159814453125,0.0018463134765625,-1.0095062255859375,0.04376220703125
1761378930164654300,0.761654296875,0.01226806640625,-1.007720947265625,0.038299560546875
1761378930174710300,0.771710205078125,0.017730712890625,-0.999603271484375,0.0350189208984375
1761378930184765400,0.781765380859375,0.019073486328125,-0.99774169921875,0.0400238037109375
1761378930194821400,0.7918212890625,0.009857177734375,-1.0035858154296875,0.0491485595703125
1761378930204877300,0.801877197265625,0.0020599365234375,-1.007476806640625,0.063385009765625
1761378930214933500,0.81193359375,-0.001556396484375,-1.0085601806640625,0.0717010498046875
1761378930224988200,0.82198828125,0.0087432861328125,-1.0067596435546875,0.0733795166015625
1761378930235044400,0.83204443359375,0.0165252685546875,-1.0129547119140625,0.065399169921875
1761378930245100300,0.842100341796875,0.0182952880859375,-1.0212554931640625,0.058990478515625
1761378930255156200,0.85215625,0.01300048828125,-1.0274505615234375,0.0536346435546875
1761378930265211400,0.86221142578125,0.00347900390625,-1.025115966796875,0.0460968017578125
1761378930275267300,0.872267333984375,-0.0058441162109375,-1.0198822021484375,0.0405731201171875
1761378930285323300,0.8823232421875,-0.00634765625,-1.016815185546875,0.034576416015625
1761378930295379500,0.89237939453125,-0.001495361328125,-1.010345458984375,0.0307769775390625
1761378930305434000,0.90243408203125,-0.0003509521484375,-1.00390625,0.030731201171875
1761378930315490300,0.912490234375,-0.00433349609375,-1.026580810546875,0.0270843505859375
1761378930325546200,0.922546142578125,-0.0048675537109375,-1.0523223876953125,0.022430419921875
1761378930335602200,0.932602294921875,-0.0135345458984375,-1.060821533203125,0.0158538818359375
1761378930345657300,0.9426572265625,-0.018646240234375,-1.08013916015625,0.003692626953125
1761378930355713300,0.95271337890625,-0.0404510498046875,-1.1167144775390625,-0.009735107421875
1761378930365769500,0.96276953125,-0.0756988525390625,-1.15533447265625,-0.01544189453125
1761378930375824100,0.97282421875,-0.11663818359375,-1.18157958984375,-0.0173492431640625
1761378930385880300,0.98288037109375,-0.1574554443359375,-1.1908416748046875,-0.025115966796875
1761378930395936300,0.992936279296875,-0.2032318115234375,-1.18975830078125,-0.0287933349609375
1761378930405992200,1.0029921875,-0.235565185546875,-1.189544677734375,-0.0297698974609375
1761378930416047400,1.01304736328125,-0.266265869140625,-1.1807708740234375,-0.0336761474609375
1761378930426103300,1.023103271484375,-0.2846221923828125,-1.155853271484375,-0.033721923828125
1761378930436159500,1.033159423828125,-0.283203125,-1.1101531982421875,-0.034332275390625
1761378930446215400,1.04321533203125,-0.262420654296875,-1.0453643798828125,-0.034759521484375
1761378930456270300,1.053270263671875,-0.2345123291015625,-0.984283447265625,-0.03302001953125
1761378930466326300,1.063326171875,-0.205902099609375,-0.9382476806640625,-0.0278472900390625
1761378930476382200,1.07338232421875,-0.1806640625,-0.89263916015625,-0.02398681640625
1761378930486438400,1.0834384765625,-0.1493682861328125,-0.8538665771484375,-0.02960205078125
1761378930496493300,1.093493408203125,-0.11468505859375,-0.8317718505859375,-0.0362548828125
1761378930506549200,1.10354931640625,-0.086578369140625,-0.8242645263671875,-0.037322998046875
1761378930516605400,1.11360546875,-0.068115234375,-0.8253021240234375,-0.0363311767578125
1761378930526661400,1.123661376953125,-0.04718017578125,-0.821380615234375,-0.03961181640625
1761378930536716300,1.13371630859375,-0.057952880859375,-0.8342742919921875,-0.0408782958984375
1761378930546772200,1.143772216796875,-0.114501953125,-0.8843994140625,-0.0190277099609375
1761378930556828200,1.153828125,-0.167510986328125,-0.93048095703125,0.01287841796875
1761378930566884400,1.16388427734375,-0.19061279296875,-0.9441070556640625,0.020233154296875
1761378930576939300,1.173939208984375,-0.20635986328125,-0.9515228271484375,0.0127410888671875
1761378930586995500,1.183995361328125,-0.1946258544921875,-0.9698944091796875,0.0096435546875
1761378930597051400,1.194051513671875,-0.178619384765625,-0.9865875244140625,-0.000274658203125
1761378930607107300,1.204107421875,-0.1790924072265625,-1.0080108642578125,-0.0263671875
1761378930617162200,1.214162353515625,-0.1855010986328125,-1.028045654296875,-0.0594635009765625
1761378930627218200,1.22421826171875,-0.207183837890625,-1.0336151123046875,-0.0960540771484375
1761378930637274400,1.2342744140625,-0.2405853271484375,-1.0318450927734375,-0.1190338134765625
1761378930647330300,1.244330322265625,-0.2693939208984375,-1.0395965576171875,-0.1241607666015625
1761378930657385500,1.254385498046875,-0.276397705078125,-1.0345458984375,-0.1237945556640625
1761378930667441400,1.26444140625,-0.2685394287109375,-1.0163116455078125,-0.119781494140625
1761378930677497300,1.274497314453125,-0.2501678466796875,-1.0005035400390625,-0.112884521484375
1761378930687552300,1.28455224609375,-0.2209014892578125,-0.983367919921875,-0.1009979248046875
1761378930697608200,1.294608154296875,-0.1975860595703125,-0.9687957763671875,-0.0872955322265625
1761378930707664100,1.3046640625,-0.1771240234375,-0.9570465087890625,-0.0717926025390625
1761378930717720300,1.31472021484375,-0.1562957763671875,-0.925384521484375,-0.0569610595703125
1761378930727775200,1.324775146484375,-0.1362762451171875,-0.896697998046875,-0.0396728515625
1761378930737831400,1.33483154296875,-0.1125640869140625,-0.88641357421875,-0.0199737548828125
1761378930747887400,1.344887451171875,-0.0844573974609375,-0.8808441162109375,-0.0114898681640625
1761378930757943300,1.354943359375,-0.060028076171875,-0.875091552734375,-0.005950927734375
1761378930767998200,1.364998291015625,-0.0420379638671875,-0.870819091796875,-0.00628662109375
