time,seconds_elapsed,x,y,z,session_folder,activity
1761378900710319000,0.072319091796875,0.06011962890625,-1.147003173828125,-0.1589813232421875,walking5,walking
1761378900720375000,0.082375,0.033416748046875,-1.128814697265625,-0.1771392822265625,walking5,walking
1761378900730431000,0.092430908203125,0.0035400390625,-1.11260986328125,-0.196746826171875,walking5,walking
1761378900740487200,0.102487060546875,-0.0197601318359375,-1.0988311767578125,-0.2123870849609375,walking5,walking
1761378900750542000,0.1125419921875,-0.0374755859375,-1.0864715576171875,-0.23065185546875,walking5,walking
1761378900760598300,0.122598388671875,-0.0381317138671875,-1.0744476318359375,-0.2421417236328125,walking5,walking
1761378900770654000,0.132654052734375,-0.0270843505859375,-1.0630645751953125,-0.2450103759765625,walking5,walking
1761378900780709000,0.142709228515625,-0.0170745849609375,-1.0659942626953125,-0.2386474609375,walking5,walking
1761378900790765000,0.15276513671875,-0.0073699951171875,-1.07330322265625,-0.2257843017578125,walking5,walking
1761378900800821000,0.162821044921875,-0.0058135986328125,-1.065673828125,-0.206298828125,walking5,walking
1761378900810875400,0.17287548828125,-0.0140838623046875,-1.0566253662109375,-0.1933441162109375,walking5,walking
1761378900820931300,0.182931396484375,-0.023681640625,-1.0560455322265625,-0.1927337646484375,walking5,walking
1761378900830987500,0.192987548828125,-0.038848876953125,-1.0477752685546875,-0.19854736328125,walking5,walking
1761378900841042200,0.203042236328125,-0.0555419921875,-1.0333709716796875,-0.2076416015625,walking5,walking
1761378900851098400,0.213098388671875,-0.0792236328125,-1.0204010009765625,-0.2124176025390625,walking5,walking
1761378900861154300,0.223154296875,-0.09710693359375,-0.9996185302734376,-0.224639892578125,walking5,walking
1761378900871209500,0.23320947265625,-0.106842041015625,-0.9857330322265624,-0.243743896484375,walking5,walking
1761378900881265400,0.243265380859375,-0.10150146484375,-0.97265625,-0.2490997314453125,walking5,walking
1761378900891321300,0.2533212890625,-0.0882720947265625,-0.95391845703125,-0.2504425048828125,walking5,walking
1761378900901377500,0.26337744140625,-0.075469970703125,-0.9351806640625,-0.2338409423828125,walking5,walking
1761378900911432200,0.27343212890625,-0.06451416015625,-0.9178619384765624,-0.2193603515625,walking5,walking
1761378900921488400,0.28348828125,-0.0556640625,-0.9059295654296876,-0.206695556640625,walking5,walking
1761378900931544300,0.29354443359375,-0.05987548828125,-0.888092041015625,-0.1901092529296875,walking5,walking
1761378900941599500,0.303599609375,-0.0748443603515625,-0.8723602294921875,-0.18548583984375,walking5,walking
