time,seconds_elapsed,x,y,z,session_folder,activity
1761380396320829700,0.05182958984375,-0.056944643083075,0.0329240356868132,0.128206108674407,jumping6,jumping
1761380396330911700,0.061911865234375,0.0042421128154732,0.0024198110254481,0.0408440515637397,jumping6,jumping
1761380396340993500,0.07199365234375,0.0368171067357528,-0.0120281453154981,-0.0074240125209093,jumping6,jumping
1761380396351076600,0.08207666015625,-0.015472522748867,0.0156680727204307,0.0764917035281658,jumping6,jumping
1761380396361158700,0.09215869140625,-0.0310936236555688,0.0238926975671201,0.1047398928910493,jumping6,jumping
1761380396371240700,0.10224072265625,0.0215206438066903,-0.0099880543226376,0.0197884040534496,jumping6,jumping
1761380396381322500,0.112322509765625,0.0210363765542395,-0.0071638637473806,0.0166658881187438,jumping6,jumping
1761380396391405600,0.122405517578125,-0.0303979695416055,0.0281814077369868,0.0890507408499717,jumping6,jumping
1761380396401487600,0.132487548828125,-0.0046900027134455,0.007029167984426,0.0666068538516759,jumping6,jumping
1761380396411569700,0.142569580078125,0.0228443392916582,-0.0155065254831686,0.0133761989235877,jumping6,jumping
1761380396421652500,0.152652587890625,0.0047726942945271,0.0017848010575398,0.0461287139683961,jumping6,jumping
1761380396431734500,0.162734619140625,-0.0218350891838781,0.0218745261451229,0.0875496886372566,jumping6,jumping
1761380396441816600,0.172816650390625,0.0088946330627426,0.0047097485935315,0.0452209514737129,jumping6,jumping
1761380396451899600,0.182899658203125,0.0169693189115729,-0.0058275005770847,0.0174082309186458,jumping6,jumping
1761380396461981400,0.1929814453125,-0.0107651122428942,0.0091555490212515,0.0794815329939127,jumping6,jumping
1761380396472063500,0.2030634765625,-0.007709341401467,0.0185773477632552,0.0699035573095083,jumping6,jumping
1761380396482145500,0.2131455078125,0.0184744262448977,-0.0019771818244829,0.0224842190086841,jumping6,jumping
1761380396492228900,0.223228759765625,0.0013525653864257,0.0057158934287726,0.0402823260277509,jumping6,jumping
1761380396502310700,0.233310546875,-0.0114208636047318,0.0149362513145431,0.076478259524703,jumping6,jumping
1761380396512392700,0.243392822265625,0.0072183978130575,0.0036666327487677,0.0443248794168233,jumping6,jumping
1761380396522475800,0.253475830078125,0.0074264328068587,-0.007182714578323,0.0272872353762388,jumping6,jumping
1761380396532557800,0.263557861328125,-0.0106743469532113,0.0079122709618881,0.062285483521223,jumping6,jumping
1761380396542639600,0.2736396484375,-0.0071606032112147,0.0133436848934739,0.0654173518061637,jumping6,jumping
1761380396552722700,0.28372265625,0.0027262374929618,-0.0049455301107838,0.0434399132758379,jumping6,jumping
1761380396562804700,0.2938046875,-0.0026592275382019,0.0001976049313321,0.0503267501801252,jumping6,jumping
1761380396572886800,0.30388671875,-0.0071128642125055,0.0137082804221659,0.0652852498590946,jumping6,jumping
1761380396582968800,0.31396875,0.0008293543630745,0.0066319122951477,0.0465922398269176,jumping6,jumping
1761380396593051600,0.3240517578125,0.0070844235693104,-0.0017510449184104,0.0398620547890663,jumping6,jumping
1761380396603133700,0.3341337890625,-0.0040137200202327,0.011273637153767,0.0558574963003397,jumping6,jumping
1761380396613215700,0.3442158203125,0.00053807979892,0.0137036042470484,0.0519663340806961,jumping6,jumping
1761380396623298600,0.354298583984375,0.0041379400549456,0.0025275091836228,0.0388251129567623,jumping6,jumping
1761380396633380600,0.364380615234375,0.0099220946806482,0.0076109133951365,0.0382224708884954,jumping6,jumping
1761380396643462700,0.374462646484375,-0.0025798238927498,0.0039282062944024,0.0599111556053161,jumping6,jumping
1761380396653544700,0.384544677734375,0.0035689445279538,0.0030334128791466,0.0493003297418355,jumping6,jumping
1761380396663627500,0.39462744140625,0.0035216895864345,0.0063169280618429,0.041977439507842,jumping6,jumping
1761380396673709600,0.40470947265625,0.0067786272894591,0.0103031481537967,0.0542412932753562,jumping6,jumping
1761380396683791600,0.41479150390625,0.005057712647831,0.0085474270602688,0.0540951628029346,jumping6,jumping
1761380396693874700,0.424874755859375,0.0015625092095229,0.0007394932556897,0.0401923096567392,jumping6,jumping
1761380396703956500,0.43495654296875,0.0016334372875746,0.000779459939897,0.0401893870472907,jumping6,jumping
1761380396714038500,0.44503857421875,-0.0066022569424007,0.0036146468332037,0.0542494765818119,jumping6,jumping
1761380396724121600,0.45512158203125,-0.0053725233511999,0.0007478957578539,0.050360652449727,jumping6,jumping
1761380396734203600,0.46520361328125,0.0038746586094144,-0.001668408136256,0.0505126281410455,jumping6,jumping
1761380396744285700,0.47528564453125,-0.0003832728296983,0.0039664559455588,0.051710898014903,jumping6,jumping
1761380396754368500,0.485368408203125,-0.0003194412127137,0.004264562109299,0.0647317076295614,jumping6,jumping
1761380396764450600,0.495450439453125,-0.0032430918407626,0.0029299890372902,0.0542611670196056,jumping6,jumping
1761380396774532600,0.50553271484375,-0.0054444743425585,0.0049556861786171,0.0467822094410657,jumping6,jumping
1761380396784614700,0.51561474609375,-0.0046032468785997,0.0112113125072792,0.0514139608949422,jumping6,jumping
1761380396794697500,0.525697509765625,-0.0085287862918805,0.0026099267700687,0.0542588289320468,jumping6,jumping
1761380396804779500,0.535779541015625,-0.0010805435120128,-0.0015261866539716,0.0463356347173452,jumping6,jumping
1761380396814861600,0.545861572265625,-0.001015131859295,0.0090395579587668,0.0460258381158113,jumping6,jumping
1761380396824944600,0.555944580078125,8.8591598905e-06,0.0089165161009877,0.0659247168064117,jumping6,jumping
1761380396835026700,0.566026611328125,-0.0020861586242914,0.0002391059854999,0.051710898014903,jumping6,jumping
1761380396845108700,0.576108642578125,-0.0094915669094305,-0.0028375615134835,0.0325578692555427,jumping6,jumping
1761380396855190800,0.586190673828125,0.0059612921577412,0.0010134878914803,0.0606897387623786,jumping6,jumping
1761380396865273600,0.596273681640625,0.0016053163047879,0.0030307459980249,0.0554606059372425,jumping6,jumping
1761380396875355600,0.606355712890625,-0.00341253925669,0.0045453518120571,0.0521767619609832,jumping6,jumping
1761380396885437700,0.616437744140625,-0.0041611200011335,0.0031713965777307,0.045588031220436,jumping6,jumping
1761380396895520800,0.626520751953125,-0.003294164440874,0.0075610463714227,0.0563654458224773,jumping6,jumping
1761380396905602800,0.636602783203125,0.0007035268931649,0.0010483400091528,0.0529278725892305,jumping6,jumping
1761380396915684600,0.6466845703125,-0.0002795475937426,-6.40051469206e-05,0.0490332032382488,jumping6,jumping
