time,seconds_elapsed,z,y,x
1761378829281993200,0.0659931640625,-0.0655975341796875,-0.9913177490234375,-0.0274505615234375
1761378829292048000,0.0760478515625,-0.056304931640625,-1.0031280517578125,-0.023284912109375
1761378829302104000,0.08610400390625,-0.050323486328125,-1.005950927734375,-0.0257110595703125
1761378829312160000,0.096159912109375,-0.0592041015625,-1.00347900390625,-0.0316619873046875
1761378829322216000,0.1062158203125,-0.062591552734375,-1.002593994140625,-0.0348052978515625
1761378829332272000,0.116272216796875,-0.0719146728515625,-0.99493408203125,-0.035064697265625
1761378829342327000,0.1263271484375,-0.0751495361328125,-0.995635986328125,-0.0331268310546875
1761378829352383200,0.13638330078125,-0.07305908203125,-1.0029754638671875,-0.02593994140625
1761378829362439000,0.14643896484375,-0.067962646484375,-0.9924468994140625,-0.02294921875
1761378829372494800,0.156494873046875,-0.06396484375,-0.98236083984375,-0.0247650146484375
1761378829382550000,0.166550048828125,-0.055023193359375,-0.9879302978515625,-0.0236663818359375
1761378829392606000,0.17660595703125,-0.0494384765625,-0.99005126953125,-0.0283050537109375
1761378829402662100,0.186662109375,-0.046630859375,-0.98779296875,-0.0304412841796875
1761378829412718000,0.196718017578125,-0.052947998046875,-0.9898834228515625,-0.0297698974609375
1761378829422774000,0.20677392578125,-0.0699005126953125,-0.991302490234375,-0.02667236328125
1761378829432829200,0.2168291015625,-0.0824432373046875,-0.9890899658203125,-0.026153564453125
1761378829442884900,0.226884765625,-0.0814666748046875,-0.9883880615234375,-0.0252227783203125
1761378829452941000,0.236941162109375,-0.074005126953125,-0.986175537109375,-0.0269012451171875
1761378829462997000,0.2469970703125,-0.06341552734375,-0.9871063232421875,-0.028167724609375
1761378829473052000,0.257052001953125,-0.052276611328125,-0.9914703369140625,-0.0258636474609375
1761378829483108000,0.267108154296875,-0.04351806640625,-0.992919921875,-0.0252532958984375
1761378829493164000,0.2771640625,-0.0517578125,-0.991668701171875,-0.028289794921875
1761378829503220000,0.287219970703125,-0.0529022216796875,-0.996337890625,-0.02764892578125
1761378829513276200,0.297276123046875,-0.059478759765625,-0.99725341796875,-0.027587890625
1761378829523330800,0.307330810546875,-0.0685882568359375,-1.002288818359375,-0.0286712646484375
1761378829533387000,0.317386962890625,-0.0698394775390625,-1.0045013427734375,-0.0231170654296875
1761378829543443000,0.32744287109375,-0.0672607421875,-1.0021820068359375,-0.0206451416015625
1761378829553499000,0.337498779296875,-0.0630645751953125,-0.9976654052734375,-0.024200439453125
1761378829563554000,0.347553955078125,-0.0592803955078125,-1.0009765625,-0.0275421142578125
1761378829573610000,0.35760986328125,-0.062713623046875,-1.00482177734375,-0.030242919921875
1761378829583666200,0.367666259765625,-0.0690765380859375,-1.0075836181640625,-0.0355682373046875
1761378829593722000,0.37772216796875,-0.0716705322265625,-1.013427734375,-0.0333251953125
1761378829603778000,0.387778076171875,-0.073974609375,-1.0128631591796875,-0.0257110595703125
1761378829613833000,0.3978330078125,-0.070770263671875,-1.00872802734375,-0.0213623046875
1761378829623889000,0.407888916015625,-0.0622711181640625,-0.997100830078125,-0.018310546875
1761378829633945000,0.417945068359375,-0.048919677734375,-0.98345947265625,-0.0240478515625
1761378829644001000,0.4280009765625,-0.0457000732421875,-0.980865478515625,-0.0281219482421875
1761378829654056200,0.43805615234375,-0.049102783203125,-0.982940673828125,-0.0314788818359375
1761378829664112000,0.448112060546875,-0.0601959228515625,-0.978485107421875,-0.0339202880859375
1761378829674168000,0.45816796875,-0.0721435546875,-0.98388671875,-0.0332794189453125
1761378829684224300,0.468224365234375,-0.076904296875,-0.993896484375,-0.028961181640625
1761378829694279000,0.47827880859375,-0.0746917724609375,-0.9883880615234375,-0.0288238525390625
1761378829704334800,0.4883349609375,-0.05987548828125,-0.9853057861328125,-0.0315704345703125
1761378829714391000,0.49839111328125,-0.0502471923828125,-0.987457275390625,-0.031280517578125
1761378829724447000,0.508447021484375,-0.042938232421875,-0.9826812744140625,-0.0281219482421875
1761378829734503000,0.5185029296875,-0.0440216064453125,-0.9784698486328125,-0.0252532958984375
1761378829744557300,0.528557373046875,-0.0555877685546875,-0.9814605712890625,-0.0253753662109375
1761378829754613500,0.538613525390625,-0.071441650390625,-0.9908447265625,-0.0301513671875
1761378829764669400,0.54866943359375,-0.0921478271484375,-1.0052490234375,-0.0345306396484375
1761378829774725400,0.558725341796875,-0.10015869140625,-1.0141448974609375,-0.04095458984375
1761378829784780500,0.568780517578125,-0.09674072265625,-1.0141143798828125,-0.0379791259765625
1761378829794836500,0.57883642578125,-0.0856781005859375,-1.0162353515625,-0.0309600830078125
1761378829804892400,0.588892333984375,-0.070587158203125,-1.0216522216796875,-0.0267333984375
1761378829814948600,0.598948486328125,-0.0526580810546875,-1.019287109375,-0.0237884521484375
1761378829825004300,0.60900439453125,-0.0465240478515625,-1.008758544921875,-0.0256195068359375
1761378829835059500,0.6190595703125,-0.057586669921875,-1.00091552734375,-0.030609130859375
1761378829845115400,0.629115478515625,-0.0653228759765625,-0.9971160888671875,-0.031219482421875
1761378829855171300,0.63917138671875,-0.075836181640625,-0.99169921875,-0.03131103515625
1761378829865227500,0.6492275390625,-0.0729217529296875,-0.9873199462890625,-0.0299224853515625
1761378829875282400,0.659282470703125,-0.0638275146484375,-0.9838714599609375,-0.030914306640625
1761378829885338600,0.669338623046875,-0.0504150390625,-0.9784088134765625,-0.0316009521484375
1761378829895394600,0.67939453125,-0.04193115234375,-0.9770355224609375,-0.029144287109375
1761378829905450200,0.6894501953125,-0.0397796630859375,-0.978790283203125,-0.0281524658203125
